Artist,Title,Lyrics,track_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Drake,Over,produced by boida and nick brongers   uh uh young money yeah yeah yeah   i know way too many people here right now that i didn't know last yearwho the fuck are y'all i swear it feels like the last few nights we've been everywhere and back but i just can't remember it all what am i doing what am i doing oh yeah that's righti'm doing me i'm doing me i'm living life right now man and this what i'ma do 'til it's over 'til it's over but it's far from over   alright bottles on me long as someone drink it never drop the ball fuck are y'all thinking making sure the young money ship is never sinking about to set it off in this bitch jada pinkett i shouldn't have drove tell me how i'm getting home you too fine to be laying down in bed alone i could teach you how to speak my language rosetta stone i swear this life is like the sweetest thing i've ever known about to go thriller mike jackson on these niggas all i need's a fucking red jacket with some zippers super good smidoke a package of the swisher's i did it overnight it couldn't happen any quicker y'all know them well fuck it me either but point the biggest skeptic out i'll make him a believer it wouldn't be the first time i done it throwing hundreds when i should be throwing ones bitch i run it   i know way too many people here right now that i didn't know last yearwho the fuck are y'all i swear it feels like the last few nights we've been everywhere and back but i just can't remember it all what am i doing what am i doing oh yeah that's righti'm doing me i'm doing me i'm living life right now man and this what i'ma do 'til it's over 'til it's over but it's far from over   one thing 'bout music when it hits you feel no pain and i swear i got this shit that make these bitches go insane so they tell me that they love me i know better than that it's just game it's just what comes with the fame and i'm ready for that i'm just saying but i really can't complain everything is kosher two thumbs up ebert and roeper i really can't see the end getting any closer but i'll probably still be the man when everything is over so i'm riding through the city with my high beams on can you see me can you see me get your visine on y'all just do not fit the picture turn your widescreen on if you thinking i'ma quit before i die dream on man they treat me like a legend am i really this cold i'm really too young to be feeling this old it's about time you admit it who you kidding man nobody's ever done it like i did it uh   i know way too many people here right now that i didn't know last yearwho the fuck are y'all i swear it feels like the last few nights we've been everywhere and back but i just can't remember it all what am i doing what am i doing oh yeah that's righti'm doing me i'm doing me i'm living life right now man and this what i'ma do 'til it's over 'til it's over but it's far from over yeah that's righti'm doing me i'm doing me i'm living life right now man and this what i'ma do 'til it's over 'til it's over but it's far from over,7qLJmyRxLZCf1ifZlJ2gMZ,27,382474,False,0.371,0.51,0,-8.942,1,0.0468,0.296,8.19e-05,0.0952,0.147,113.32,4,acoustic
Coldplay,Birds,been standing in the corner studying the lights the dreaming of escape will keep you up at night but someone had put the flares up and got me in the rays so i guess id better stay uh uh no come on you say  refrain  it's a fools gold thunder it's just a warring rain don't let the fears just start 'what if i wont see you again around here you never want to sleep all night so start falling in love start the riot and    come on rage with me we dont need words and well be birds got to make our own key   only got this moment you and me guilty of nothing but geography  refrain  come on and raise it come on and raise this noise for the million people who got not one voice come on its not over if you mean it say loud come on all for love out from the underground    away with me we dont need words close your eyes and see and we'll be birds flying free holding on in the mystery fearless fearless fearless   oh oh oh oh oh oh oh oh oh fearless together you said well go through this together   when you fly wont you wont you take me too in this world so cruel i think youre so cool,6Tvzf3VEi16JMhAgOwdt2y,72,219440,False,0.649,0.517,1,-7.428,0,0.0297,0.0146,1.63e-06,0.145,0.35,119.997,4,rock
Post Malone,Better Now,you prolly think that you are better now better now you only say that 'cause i'm not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything you know i say that i am better now better now i only say that 'cause you're not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything ohoh   i did not believe that it would end no everything came second to the benzo you're not even speakin' to my friends no you knew all my uncles and my aunts though twenty candles blow 'em out and open your eyes we were lookin' forward to the rest of our lives used to keep my picture posted by your bedside now it's in your dresser with the socks you don't like and i'm rollin' rollin' rollin' rollin' with my brothers like it's jonas jonas drinkin' henny and i'm tryna forget but i can't get this shit outta my head   you prolly think that you are better now better now you only say that 'cause i'm not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything you know i say that i am better now better now i only say that 'cause you're not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything ohoh   i seen you with your other dude he seemed like he was pretty cool i was so broken over you life it goes on what can you do i just wonder what it's gonna take what's it gonna take another foreign or a bigger chain bigger chain because no matter how my life has changed i keep on looking back on better days   you prolly think that you are better now better now you only say that 'cause i'm not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything you know i say that i am better now better now i only say that 'cause you're not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything ohoh   i promise i swear to you i'll be okay you're only the love of my life love of my life   you prolly think that you are better now better now you only say that 'cause i'm not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything you know i say that i am better now better now i only say that 'cause you're not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything ohoh,74Hf2CrG7Y2dzCwPAXYugR,52,169048,False,0.714,0.684,6,-7.434,0,0.21,0.154,0.0,0.0759,0.422,111.038,4,deep-house
Beyonc,Haunted,part  ghost   young beyonc  presenter the winner is beyonc knowles female pop vocalist i would like to thank the judges for picking me my parents who i love i love you houston   and i've been drifting off on knowledge catcalls on catwalks man these women getting solemn i could sing a song for a mon or salamander we took a flight at midnight and now my mind can't help but wonder how come spoonfed pluralized eyes to find the beaches in the forest when i'm looking off the edge i preach my gut it can't help but ignore it i'm climbing up the walls cause all the shit i hear is boring all the shit i do is boring all these record labels boring i don't trust these record labels i'm torn all these people on the planet working 9 to 5 just to stay alive the 9 to 5 just to stay alive the 9 to 5 just to stay alive the 9 to 5 just to stay alive the 9 to 5 just to stay alive the 9 to 5 just to stay alive the 9 to 5 just to stay alive all the people on the planet working 9 to 5 just to stay alive how come   what goes up ghost around ghost around around around around what goes up ghost around ghost around around around around what goes up ghost around ghost around around around around   around around around around around around around around around around around around around around around around around around around around around   soul not for sale probably won't make no money off this oh well reap what you sow perfection is so mmm  part  haunted   it's what you do it's what you see i know if i'm haunting you you must be haunting me it's where we go it's where we'll be i know if i'm onto you i'm onto you onto you you must be on to me my haunted lungs ghost in the sheets i know if i'm onto you you must be haunting me my wicked tongue where will it be i know if i'm onto you i'm on to you onto you i'm onto you onto you you must be on to me   you want me i walk down the hallway you like it the bedroom's my runway slap me i'm pinned to the doorway kiss bite foreplay   my haunted lungs ghost in the sheets i know if i'm haunting you you must be haunting me my wicked tongue where will it be i know if i'm onto you you must be onto me it's what we see i know if i'm haunting you you must be haunting me it's where we go it's where we'll be i know if i'm onto you i'm onto you onto you i'm onto you onto you you must be onto me you must be onto me you must be onto me you must be onto me   on to you i'm on to you on to you i'm on to you on to you i'm on to you on to you i'm on to you me me me,4vJfxpYeM088ddkHtSNqP1,3,185440,False,0.37,0.861,4,-4.588,0,0.0625,0.00959,0.00449,0.107,0.16,155.671,4,alternative
Coldplay,Nothing Compares 2 U,it's been seven hours and fifteen days since you took your love away i go out every night and sleep all day since you took your love away since you've been gone i can do whatever i want i can see whomever i choose i can eat my dinner in a fancy restaurant but nothing i said nothing can take away these blues 'cause nothing compares nothing compares to you nothing compares nothing compares to you it's been so lonely without you here like a bird without a song nothing can stop these lonely tears from falling tell me baby where did i go wrong i went to the doctor guess what she told me guess what she told me she said boy you better try to have fun no matter what you do but she's a fool 'cause nothing compares nothing compares to you nothing compares nothing compares to you nothing compares nothing compares to you nothing compares nothing compares to you,5GHY1DFWKz3Prg2V0Iodqo,74,280040,False,0.512,0.574,5,-7.016,1,0.0273,0.0425,2.31e-05,0.105,0.161,119.917,4,singer-songwriter
Dua Lipa,Hallucinate,pocketful of honey and i'm ready to go no i ain't got no money but i'mlettingyou know that i'malove you like a fool breathe youin till i hallucinate mmm body make you silly make you do what i want oh baby i can make it pretty i could string you along but i'ma love you like a fool breathe you in till i hallucinate mmm  pre no i couldn't live without your touch no i could never have too much i'll breathe you in forever and ever hallucinate   i hallucinate when you call my name got stars in my eyes and they don't fade when you come my way i'm losing my mimimimind mimimimind mimimimind mimimimind i hallucinate when you call my name got stars in my   put you in my hall of fame middle of the wall yeah you're my one my favourite my ride or die oh yeah i'ma love you like a fool breathe you in till i hallucinate mmm  pre no i couldn't live without your touch no i could never have too much i'll breathe you in forever and ever hallucinate   i hallucinate when you call my name got stars in my eyes and they don't fade when you come my way i'm losing my mimimimind mimimimind mimimimind mimimimind i hallucinate when you call my name got stars in my   wanna be right where you are let's go dancing in the dark don't wait you can push to start lose control kill me slowly with your kiss wrap me 'round your fingertips damn i need another hit make me lose my mind   i hallucinate when you call my name got stars in my eyes and they don't fade when you come my way i'm losing my mimimimind mimimimind mimimimind mimimimind i hallucinate when you call my name got stars in my,1FXHf8bzBY6BV8atsqGPBN,54,213800,False,0.492,0.948,5,-4.531,1,0.137,0.000582,0.000288,0.166,0.112,134.026,4,metalcore
Taylor Swift,Untouchable,untouchable like a distant diamond sky i'm reaching out and i just can't tell you why i'm caught up in you i'm caught up in you  pre untouchable burning brighter than the sun and when you're close i feel like coming undone   in the middle of the night when i'm in this dream it's like a million little stars spelling out your name you got to come on come on say that we'll be together come on come on little taste of heaven   it's half full and i won't wait here all day i know you're saying that you'd be here anyway  pre but you're untouchable burning brighter than the sun now that you're close i feel like coming undone   in the middle of the night when i'm in this dream it's like a million little stars spelling out your name you got to come on come on say that we'll be together come on come on oh in the middle of the night waking from this dream i want to feel you by my side standing next to me you got to come on come on say that we'll be together come on come on little taste of heaven   i'm caught up in you oh oh oh  pre but you're untouchable burning brighter than the sun now that you're close i feel like coming undone   in the middle of the night when i'm in this dream it's like a million little stars spelling out your name you got to come on come on say that we'll be together come on come on oh in the middle of the night when i'm in this dream it's like a million little stars spelling out your name you got to come on come on say that we'll be together come on come on come on in the middle of the night waking from this dream i want to feel you by my side standing next to me you got to come on come on say that we'll be together come on come on little taste of heaven and in the middle of the night when i'm in this dream it's like a million little stars spelling out your name you got to come on come on come on come on come on come on oh oh oh   like a million little stars spelling out your name they're spelling out your name oh,2hDMBVN3P47GEhH5VtmA6m,69,153210,False,0.658,0.603,2,-6.552,0,0.0676,0.472,0.0,0.124,0.519,146.864,4,hip-hop
Rihanna,Russian Roulette,take a breath take it deep calm yourself he says to me if you play you play for keeps take the gun and count to three im sweating now moving slow no time to think my turn to go   and you can see my heart beating you can see it through my chest said im terrified but im not leaving i know that i must pass this test so just pull the trigger trigger trigger trigger   say a prayer to yourself he says close your eyes sometimes it helps and then i get a scary thought that hes here means hes never lost   and you can see my heart beating oh you can see it through my chest said im terrified but im not leaving know that i must pass this test so just pull the trigger   as my life flashes before my eyes im wondering will i ever see another sunrise so many wont get the chance to say goodbye but its too late to think of the value of my life   and you can see my heart beating ouhoh you can see it through my chest said im terrified but im not leaving no know that i must pass this test you can see my heart beating oh you can see it through my chest im terrified but im not leaving no no know that i must pass this test so just pull the trigger trigger trigger trigger,05kLpvpugneGj8jqoQcQSK,27,151346,False,0.635,0.86,5,-4.188,0,0.0409,0.017,0.0548,0.0941,0.717,121.459,4,power-pop
Lady Gaga,Enigma,openminded i'm so blinded mystery man woman phantom violet light smears the atmosphere i'm so scared but i'm standing here  pre is what i am seeing real or is it just a sign is it all just virtual   we could be lovers even just tonight we could be anything you want we could be jokers brought to the daylight we could break all of our stigma i'll i'll be your enigma i'll i'll be your enigma i'll i'll be your enigma i'll i'll be your enigma   can't stop staring i'm so naked wrapped in shadows my heart races dragon's eyes watch goddess breathing give me something to believe in  pre is what i am seeing real or is it just a sign is it all just virtual   we could be lovers even just tonight we could be anything you want we could be jokers brought to the daylight we could break all of our stigma i'll i'll be your enigma i'll i'll be your enigma i'll i'll be your enigma i'll i'll be your enigma   did you hear what i said what did you hear what i said yeah is it all in my head is it all in my head ooh yeah is it all in my head   we could be lovers even just tonight we could be anything you want we could be jokers brought to the daylight we could break all of our stigma i'll i'll be your enigma even just tonight i'll i'll be your enigma brought to the daylight i'll i'll be your enigma even just tonight i'll i'll be your enigma brought to the daylight daylight,5rmSiOcI7xPIOhMTakVxa0,44,238333,False,0.2,0.058,2,-26.123,0,0.0395,0.951,0.94,0.0891,0.0386,140.137,1,ambient
Eminem,In Too Deep,this could never work is what we said at first but whatever this is it's working butwe'rein two differentworlds and yeah i'm not your husbandnah you ain't my girlfriend all i know is that what when i'm with you i'm a different person yeah and i ain't never met a chick as perfect girl you're a ten so here i am yeah laying here with her again thinking 'bout you she's asleep you're texting me around two crying face emoji you say this is me without you we're sneaking out to meet at cheap hotel rooms or sex in the car then i'll text you tomorrow do i question it nah no objection at all 'cause both of us are still involved so as i'm peelin' off all i'm thinking 'bout is   i'm not happy here nah with her rather have you yeah rather have me too 'cause you're not happy there you're not happy there with him rather have me i know but were just in too deep   you're laying there with him thinking 'bout me he's asleep you say let's meet around three you went to leave the house he caught you sneaking out now he's freaking out you thought he was sleepin' soundly woah you say you're going for a drive you don't question him when he stumbles in like where the fuck you've been then you pump his ear with what he wants to hear tell him you love him yeah wipe each other's tears but it's been a couple years since we been doin' dirt you or my girl don't wanna see either of you get hurt but now the lines are getting super blurred can't tell if i'm cheating on her with you or cheating on you with her but really nobody's at fault can't help who you love hope they don't overhear us talk 'cause we both are getting sloppy probably subconsciously part of me's hoping we get caught 'cause   i'm not happy here nah with her rather have you yeah rather have me too 'cause you're not happy there you're not happy there with him rather have me i know but were just in too deep   we're laying here with them thinking 'bout us 'cause now when we get home we get jealous of each other being someone else's call us long john silver's 'cause we selfish but i just wanna see ya don't care if it's at the ritz or motel 6 if i'm there with ya rich or poor when i'm laying here with ya it could be the kitchen floor i could stay in bed with ya starin' at ya 'til the morn' i just wanna be your secret lover yeah i'd rather share ya than to not have you at all so once a year or twice a month i'm here if you want it yeah i'm open season and i'm always game so i keep it a hundred dear haha 'cause we could never be each other's everythings you got a wedding ring so it's him instead of me but i'll be your second string now and forever because   i'm not happy here nah with her rather have you yeah rather have me too 'cause you're not happy there you're not happy there with him rather have me i know but were just in too deep i'm in way too deep,1HNE2PX70ztbEl6MLxrpNL,76,207093,False,0.568,0.844,9,-5.875,1,0.0505,0.000189,0.0,0.0607,0.766,116.046,4,punk
Ed Sheeran,How Would You Feel (Paean)," You are the one, girl And you know that it's true I'm feeling younger Every time that I'm alone with you   We were sitting in a parked car Stealing kisses in a front yard We got questions we should not ask, but   How would you feel If I told you I loved you? It's just something that I want to do I'll be taking my time Spending my life Falling deeper in love with you So tell me that you love me too   In the summer As the lilacs bloom Love flows deeper than the river Every moment that I spend with you   We were sat upon our best friend's roof I had both of my arms around you Watching the sunrise replace the moon, but   How would you feel If I told you I loved you? It's just something that I want to do I'll be taking my time Spending my life Falling deeper in love with you So tell me that you love me too     Yeah, we were sitting in a parked car Stealing kisses in a front yard We got questions we should not ask   How would you feel If I told you I loved you? It's just something that I want to do I'll be taking my time Spending my life Falling deeper in love with you Tell me that you love me too Tell me that you love me too Tell me that you love me too",4JWlQ6skcm0SuztTiapWeo,0,280533,False,0.618,0.439,9,-5.63,1,0.0269,0.424,0.0,0.127,0.242,139.983,4,pop
